station,hour,day,weather,event,passenger_count
Banashankari,17,Monday,Clear,0,13457
Pantharapalya - Nayandahalli,12,Monday,Clear,0,12720
Hopefarm Channasandra,14,Sunday,Clear,0,10796
Kadugodi Tree Park,20,Monday,Clear,1,10697
"Sri Balagangadharanatha Swamiji Station, Hosahalli",22,Thursday,Clear,1,10211
Jayaprakash Nagar,7,Sunday,Clear,0,15474
Kadugodi Tree Park,20,Saturday,Rain,0,8420
Jalahalli,15,Sunday,Rain,0,8879
Pattandur Agrahara,16,Thursday,Cloudy,0,9217
"Sri Balagangadharanatha Swamiji Station, Hosahalli",21,Wednesday,Cloudy,0,8949
Thalaghattapura,12,Friday,Rain,1,10964
Goraguntepalya,14,Friday,Cloudy,1,12890
Whitefield (Kadugodi),22,Wednesday,Rain,0,13667
Kundalahalli,14,Wednesday,Clear,0,11475
Krishna Rajendra Market,13,Friday,Rain,0,13017
Mahakavi Kuvempu Road,13,Monday,Rain,0,9347
Indiranagar,22,Wednesday,Rain,0,9857
Trinity,12,Tuesday,Rain,0,8699
Mahakavi Kuvempu Road,11,Monday,Cloudy,0,11382
Jayaprakash Nagar,13,Saturday,Clear,0,10335
Pattanagere,15,Wednesday,Cloudy,0,11626
Mantri Square Sampige Road,12,Sunday,Rain,1,15433
Rashtreeya Vidyalaya Road,12,Wednesday,Cloudy,1,14469
Attiguppe,17,Thursday,Cloudy,0,14658
Baiyappanahalli,19,Wednesday,Rain,0,17043
Hoodi,6,Saturday,Clear,0,8948
Cubbon Park,13,Friday,Cloudy,1,10494
Deepanjali Nagar,7,Wednesday,Clear,0,13689
Deepanjali Nagar,10,Monday,Cloudy,0,8423
Jayaprakash Nagar,18,Monday,Cloudy,0,19944
Mantri Square Sampige Road,9,Monday,Cloudy,1,15740
Goraguntepalya,13,Saturday,Rain,0,13286
National College,15,Thursday,Clear,1,9606
South End Circle,20,Friday,Clear,1,10411
Halasuru,14,Monday,Clear,0,10446
Rashtreeya Vidyalaya Road,9,Saturday,Clear,0,23781
Nagasandra,18,Tuesday,Cloudy,1,19798
Doddakallasandra,12,Sunday,Cloudy,1,15065
Chickpete,22,Friday,Cloudy,0,12206
Krishna Rajendra Market,10,Thursday,Clear,1,12961
"Sir.M.Visvesvaraya Stn., Central College",22,Wednesday,Rain,0,15413
Vajarahalli,15,Saturday,Clear,1,11264
Mantri Square Sampige Road,22,Friday,Cloudy,0,15575
Mantri Square Sampige Road,17,Tuesday,Cloudy,0,10668
Chickpete,10,Monday,Rain,0,14196
Krishna Rajendra Market,6,Saturday,Cloudy,0,10184
Pantharapalya - Nayandahalli,8,Wednesday,Rain,1,16062
Trinity,15,Sunday,Rain,1,13601
Goraguntepalya,12,Thursday,Rain,0,10493
Mahatma Gandhi Road,21,Thursday,Rain,0,13844
Attiguppe,15,Monday,Cloudy,0,13763
Krishnarajapuram (K.R.Puram),19,Friday,Rain,0,22970
Cubbon Park,11,Thursday,Clear,0,13036
Banashankari,18,Wednesday,Rain,0,18320
Kadugodi Tree Park,17,Saturday,Cloudy,0,15207
Goraguntepalya,14,Sunday,Cloudy,0,13498
Yeshwanthpur,6,Tuesday,Clear,0,14331
"Sir.M.Visvesvaraya Stn., Central College",7,Sunday,Rain,0,12731
Rashtreeya Vidyalaya Road,12,Friday,Clear,1,12761
Chickpete,9,Saturday,Rain,1,14064
Banashankari,10,Monday,Clear,1,10523
Yeshwanthpur,6,Thursday,Cloudy,1,12031
Trinity,22,Wednesday,Cloudy,0,14360
Peenya,19,Friday,Rain,1,18335
Garudacharapalya,20,Saturday,Cloudy,0,14642
Krishna Rajendra Market,6,Sunday,Cloudy,0,13715
Kengeri Bus Terminal,6,Thursday,Rain,0,15585
Jnanabharathi,11,Wednesday,Rain,1,14911
"Nadaprabhu Kempegowda Station, Majestic",8,Wednesday,Clear,1,24677
Pantharapalya - Nayandahalli,19,Sunday,Clear,0,16166
Singayyanapalya,12,Saturday,Rain,1,8801
Deepanjali Nagar,8,Wednesday,Rain,0,16182
Nagasandra,20,Tuesday,Cloudy,0,14454
Seetharampalya,12,Tuesday,Clear,0,12545
Goraguntepalya,12,Wednesday,Rain,0,10065
Deepanjali Nagar,15,Saturday,Cloudy,0,12517
Jalahalli,13,Thursday,Clear,0,14775
Silk Institute,18,Sunday,Cloudy,0,15988
Chickpete,13,Sunday,Rain,0,9797
"Dr. B. R. Ambedkar Station, Vidhana Soudha",14,Tuesday,Rain,0,13518
Seetharampalya,22,Wednesday,Rain,0,12596
Kundalahalli,17,Thursday,Clear,1,15050
Mantri Square Sampige Road,8,Friday,Clear,0,24157
Rajarajeshwari Nagar,16,Monday,Rain,0,11737
Hopefarm Channasandra,14,Wednesday,Clear,0,9850
Garudacharapalya,17,Saturday,Clear,0,10391
Pantharapalya - Nayandahalli,17,Monday,Cloudy,0,11519
Cubbon Park,18,Monday,Rain,1,20389
Dasarahalli,7,Wednesday,Rain,1,11081
Konanakunte Cross,16,Sunday,Rain,0,11913
Chickpete,17,Friday,Rain,0,9704
Hopefarm Channasandra,8,Wednesday,Cloudy,0,18557
Chickpete,16,Wednesday,Clear,1,13907
Mahalakshmi,7,Sunday,Cloudy,1,13132
Pattanagere,20,Sunday,Clear,0,13787
Nagasandra,16,Friday,Cloudy,0,14546
Jalahalli,9,Saturday,Cloudy,0,18754
Mahatma Gandhi Road,11,Saturday,Cloudy,1,12582
Trinity,11,Thursday,Cloudy,0,11881
Vijayanagar,20,Saturday,Cloudy,0,11828
Deepanjali Nagar,19,Tuesday,Clear,0,24391
Mahatma Gandhi Road,16,Tuesday,Rain,0,9595
Krantivira Sangolli Rayanna Railway Station,12,Friday,Rain,0,8572
Mahalakshmi,16,Wednesday,Clear,0,14141
Mantri Square Sampige Road,13,Saturday,Rain,0,9699
Whitefield (Kadugodi),7,Thursday,Cloudy,0,14841
Kadugodi Tree Park,16,Saturday,Clear,1,11986
Peenya Industry,7,Monday,Cloudy,1,8869
Sri Sathya Sai Hospital,22,Thursday,Rain,0,8477
Kengeri Bus Terminal,9,Wednesday,Clear,1,14125
Kengeri,8,Monday,Cloudy,0,22806
Yelachenahalli,12,Thursday,Cloudy,0,13365
Yeshwanthpur,8,Monday,Cloudy,1,16779
Rashtreeya Vidyalaya Road,15,Thursday,Rain,0,15537
South End Circle,14,Wednesday,Clear,0,15609
Swami Vivekananda Road,10,Thursday,Rain,0,12534
Pattanagere,7,Monday,Clear,0,11414
Dasarahalli,17,Tuesday,Cloudy,1,13295
Nagasandra,21,Friday,Rain,0,15575
Sri Sathya Sai Hospital,21,Saturday,Clear,0,14686
Chickpete,7,Tuesday,Rain,1,9439
Mantri Square Sampige Road,21,Monday,Rain,1,8711
Baiyappanahalli,17,Tuesday,Rain,1,11132
Konanakunte Cross,22,Sunday,Cloudy,1,15416
Magadi Road,6,Saturday,Rain,0,10354
Jnanabharathi,11,Friday,Clear,1,9505
Halasuru,21,Tuesday,Clear,0,12164
Pattanagere,15,Friday,Cloudy,0,11717
Mahatma Gandhi Road,19,Monday,Cloudy,0,19700
Yelachenahalli,9,Wednesday,Clear,0,15111
Vajarahalli,13,Tuesday,Cloudy,0,10359
South End Circle,8,Friday,Clear,0,23278
Kengeri,12,Saturday,Rain,0,13616
Mahatma Gandhi Road,10,Saturday,Clear,1,10967
Lalbagh,19,Saturday,Cloudy,1,14140
Jnanabharathi,22,Wednesday,Clear,0,8624
Hopefarm Channasandra,9,Thursday,Cloudy,0,18822
Jalahalli,11,Tuesday,Clear,0,14197
Yelachenahalli,20,Wednesday,Cloudy,0,11182
Pattandur Agrahara,7,Saturday,Clear,0,10755
Halasuru,18,Wednesday,Clear,1,16839
Krishnarajapuram (K.R.Puram),8,Saturday,Clear,0,24283
Rajarajeshwari Nagar,15,Friday,Rain,1,15545
"Dr. B. R. Ambedkar Station, Vidhana Soudha",16,Sunday,Rain,0,10470
Jnanabharathi,13,Thursday,Cloudy,0,15315
Sandal Soap Factory,13,Tuesday,Cloudy,0,13560
Yeshwanthpur,16,Wednesday,Rain,1,8619
Mahatma Gandhi Road,19,Wednesday,Clear,0,20847
Kengeri,9,Monday,Clear,0,13819
Srirampura,22,Sunday,Cloudy,0,10364
Pantharapalya - Nayandahalli,21,Wednesday,Cloudy,1,11349
Jnanabharathi,10,Sunday,Clear,0,10489
Krishna Rajendra Market,11,Monday,Rain,0,11209
Halasuru,17,Friday,Rain,0,13740
Singayyanapalya,11,Saturday,Cloudy,0,13055
Indiranagar,22,Thursday,Rain,0,12035
Yeshwanthpur,11,Sunday,Cloudy,0,15341
Krishna Rajendra Market,15,Thursday,Rain,0,13382
Mysore Road,15,Tuesday,Rain,0,8958
Attiguppe,22,Thursday,Cloudy,0,12841
Doddakallasandra,8,Monday,Clear,1,13963
Deepanjali Nagar,9,Thursday,Cloudy,0,15275
Rajajinagar,14,Tuesday,Clear,0,8610
Lalbagh,18,Monday,Rain,0,16031
Silk Institute,17,Thursday,Rain,0,8727
South End Circle,9,Wednesday,Rain,0,18292
Garudacharapalya,17,Monday,Rain,0,11106
Banashankari,20,Thursday,Cloudy,1,8569
Krishna Rajendra Market,14,Wednesday,Rain,0,9240
Attiguppe,19,Monday,Cloudy,0,19166
Yeshwanthpur,15,Sunday,Cloudy,1,10754
Nallurhalli,22,Friday,Clear,1,14745
Indiranagar,16,Monday,Cloudy,0,12714
Vajarahalli,7,Sunday,Rain,0,12876
Deepanjali Nagar,16,Wednesday,Clear,1,10295
Silk Institute,19,Sunday,Clear,1,23944
Singayyanapalya,13,Monday,Cloudy,1,12541
"Nadaprabhu Kempegowda Station, Majestic",8,Thursday,Cloudy,0,16851
Kengeri Bus Terminal,18,Sunday,Clear,0,15782
Mahakavi Kuvempu Road,14,Monday,Cloudy,0,14322
Silk Institute,18,Friday,Rain,1,14486
Seetharampalya,21,Sunday,Clear,0,9766
Nagasandra,20,Monday,Rain,0,8661
"Nadaprabhu Kempegowda Station, Majestic",9,Friday,Clear,0,18401
Rashtreeya Vidyalaya Road,15,Sunday,Cloudy,0,8856
Chickpete,17,Tuesday,Rain,0,10828
Baiyappanahalli,21,Wednesday,Rain,0,14160
Pattandur Agrahara,13,Tuesday,Clear,1,8949
Vijayanagar,12,Sunday,Clear,1,12998
Mahalakshmi,20,Tuesday,Rain,0,11680
Jnanabharathi,12,Sunday,Clear,0,8484
Jnanabharathi,16,Tuesday,Clear,1,15017
"Sri Balagangadharanatha Swamiji Station, Hosahalli",22,Saturday,Rain,0,13897
National College,16,Tuesday,Cloudy,0,13103
Sandal Soap Factory,15,Monday,Cloudy,0,14635
Sandal Soap Factory,22,Saturday,Clear,0,11879
Swami Vivekananda Road,19,Sunday,Cloudy,1,14534
"Dr. B. R. Ambedkar Station, Vidhana Soudha",13,Sunday,Clear,0,13096
Mahatma Gandhi Road,12,Tuesday,Cloudy,0,8729
Jalahalli,13,Wednesday,Rain,0,11961
Hoodi,10,Wednesday,Rain,0,14082
"Nadaprabhu Kempegowda Station, Majestic",11,Monday,Clear,1,10533
Lalbagh,17,Thursday,Cloudy,1,9853
Trinity,9,Monday,Rain,0,21064
Hoodi,11,Sunday,Clear,0,14428
Deepanjali Nagar,16,Sunday,Clear,0,12006
Yelachenahalli,11,Sunday,Clear,0,14603
Peenya Industry,20,Sunday,Cloudy,1,9754
Peenya,20,Thursday,Clear,0,9689
Krishnarajapuram (K.R.Puram),9,Monday,Cloudy,0,19497
Mahalakshmi,11,Tuesday,Clear,0,13028
Konanakunte Cross,21,Monday,Cloudy,0,11067
National College,13,Thursday,Rain,0,10566
Jalahalli,6,Saturday,Rain,0,13606
Kadugodi Tree Park,7,Tuesday,Rain,0,12513
Halasuru,17,Wednesday,Cloudy,0,11906
Mahakavi Kuvempu Road,12,Tuesday,Clear,1,14664
Deepanjali Nagar,18,Saturday,Cloudy,0,14477
Mysore Road,19,Tuesday,Rain,0,24250
Rashtreeya Vidyalaya Road,21,Thursday,Rain,0,13915
"Nadaprabhu Kempegowda Station, Majestic",14,Wednesday,Rain,0,14992
Rashtreeya Vidyalaya Road,10,Sunday,Cloudy,0,11154
Kengeri Bus Terminal,19,Wednesday,Clear,0,15406
Mantri Square Sampige Road,13,Wednesday,Clear,0,15255
"Sri Balagangadharanatha Swamiji Station, Hosahalli",8,Friday,Clear,0,14386
Mahakavi Kuvempu Road,15,Wednesday,Clear,0,12493
"Dr. B. R. Ambedkar Station, Vidhana Soudha",12,Thursday,Cloudy,0,15465
National College,10,Tuesday,Clear,0,12829
Nallurhalli,20,Thursday,Clear,0,9394
Rajarajeshwari Nagar,14,Saturday,Clear,1,10419
Halasuru,9,Friday,Cloudy,1,18532
Pattanagere,12,Saturday,Cloudy,0,12968
Mahalakshmi,16,Saturday,Rain,1,13809
Chickpete,10,Tuesday,Cloudy,0,13109
Yeshwanthpur,13,Friday,Rain,1,11482
Pantharapalya - Nayandahalli,7,Wednesday,Cloudy,0,14558
Rashtreeya Vidyalaya Road,15,Wednesday,Clear,0,14129
Whitefield (Kadugodi),10,Thursday,Cloudy,0,12727
Sri Sathya Sai Hospital,6,Tuesday,Cloudy,0,8684
Garudacharapalya,7,Friday,Cloudy,0,12268
Yelachenahalli,13,Wednesday,Rain,0,11862
Rajarajeshwari Nagar,10,Monday,Rain,0,10387
Singayyanapalya,21,Monday,Rain,1,10577
Silk Institute,8,Thursday,Clear,1,22315
Mahalakshmi,11,Thursday,Clear,0,15243
Mantri Square Sampige Road,19,Thursday,Rain,0,14039
Singayyanapalya,8,Saturday,Clear,0,14126
Nallurhalli,14,Tuesday,Cloudy,0,9374
Chickpete,13,Tuesday,Cloudy,1,11142
South End Circle,10,Friday,Cloudy,1,11436
Nagasandra,9,Friday,Clear,0,23438
Mahatma Gandhi Road,7,Saturday,Cloudy,0,11243
Trinity,7,Sunday,Clear,0,12222
Mahatma Gandhi Road,18,Sunday,Cloudy,0,19740
Goraguntepalya,21,Friday,Clear,0,12014
Swami Vivekananda Road,16,Saturday,Rain,1,8423
Jayaprakash Nagar,10,Tuesday,Rain,0,12186
Baiyappanahalli,7,Saturday,Rain,0,15442
South End Circle,11,Sunday,Clear,0,12619
Banashankari,10,Friday,Rain,0,12327
Thalaghattapura,12,Wednesday,Cloudy,0,15558
Peenya,8,Monday,Cloudy,0,21651
Swami Vivekananda Road,15,Sunday,Clear,0,13090
Garudacharapalya,21,Sunday,Rain,0,11945
Yelachenahalli,17,Tuesday,Clear,0,14296
Krantivira Sangolli Rayanna Railway Station,19,Thursday,Rain,0,17935
Yelachenahalli,7,Monday,Cloudy,1,13302
Mantri Square Sampige Road,13,Tuesday,Clear,1,10293
Yeshwanthpur,22,Friday,Cloudy,0,13995
Jayaprakash Nagar,16,Wednesday,Cloudy,0,12092
Kengeri Bus Terminal,12,Wednesday,Cloudy,0,11132
Goraguntepalya,12,Sunday,Rain,0,15291
Mahatma Gandhi Road,20,Sunday,Clear,1,11301
Peenya Industry,14,Thursday,Cloudy,0,12268
Kadugodi Tree Park,19,Thursday,Cloudy,0,14732
Rashtreeya Vidyalaya Road,16,Monday,Clear,0,13981
Whitefield (Kadugodi),7,Saturday,Cloudy,0,13637
Vajarahalli,11,Saturday,Clear,0,9457
Chickpete,22,Thursday,Clear,0,10451
Kengeri,10,Friday,Clear,0,14864
Thalaghattapura,20,Thursday,Rain,0,14764
Jayaprakash Nagar,22,Thursday,Clear,0,13922
Krishna Rajendra Market,12,Monday,Rain,0,11564
Mahalakshmi,8,Saturday,Rain,0,18606
Mantri Square Sampige Road,7,Saturday,Rain,0,13135
Kengeri,14,Tuesday,Cloudy,0,15294
Sandal Soap Factory,19,Tuesday,Cloudy,0,22129
Hoodi,17,Thursday,Clear,0,8800
Hopefarm Channasandra,16,Wednesday,Clear,0,9109
Halasuru,19,Friday,Clear,0,14806
Pattanagere,20,Thursday,Cloudy,0,14152
Magadi Road,21,Sunday,Rain,1,12025
Seetharampalya,21,Friday,Clear,0,11976
Vajarahalli,15,Tuesday,Rain,0,9197
Peenya Industry,17,Tuesday,Cloudy,0,12926
Pattandur Agrahara,9,Wednesday,Cloudy,0,23330
Lalbagh,21,Sunday,Cloudy,0,12541
Pantharapalya - Nayandahalli,20,Friday,Clear,1,12867
Mahatma Gandhi Road,17,Wednesday,Rain,0,9372
Kadugodi Tree Park,15,Saturday,Rain,1,12536
Mahalakshmi,15,Thursday,Rain,0,8976
Nallurhalli,13,Sunday,Clear,0,12704
Deepanjali Nagar,15,Wednesday,Rain,0,14050
Mantri Square Sampige Road,21,Tuesday,Rain,0,13067
Goraguntepalya,14,Thursday,Clear,1,8642
Yelachenahalli,16,Sunday,Rain,0,10060
Krishnarajapuram (K.R.Puram),19,Thursday,Clear,0,23704
Kadugodi Tree Park,6,Friday,Clear,0,11556
Cubbon Park,16,Tuesday,Rain,1,12404
"Sir.M.Visvesvaraya Stn., Central College",19,Thursday,Cloudy,1,18308
"Nadaprabhu Kempegowda Station, Majestic",18,Saturday,Clear,1,21060
Baiyappanahalli,12,Saturday,Rain,0,15604
Thalaghattapura,7,Thursday,Cloudy,1,8731
Swami Vivekananda Road,13,Thursday,Cloudy,0,11906
Peenya Industry,21,Saturday,Clear,0,10395
Silk Institute,12,Sunday,Cloudy,0,14531
Cubbon Park,22,Thursday,Cloudy,1,9985
Yelachenahalli,13,Thursday,Cloudy,1,10910
Rajajinagar,8,Friday,Rain,0,17406
Jnanabharathi,21,Monday,Clear,0,10226
Mahalakshmi,15,Tuesday,Rain,0,10408
Hopefarm Channasandra,17,Friday,Rain,0,10028
Mahatma Gandhi Road,20,Tuesday,Rain,0,12589
Jayanagar,10,Monday,Clear,0,12768
Mahakavi Kuvempu Road,16,Wednesday,Cloudy,1,11451
Jayaprakash Nagar,20,Wednesday,Cloudy,1,10589
Sri Sathya Sai Hospital,11,Monday,Clear,0,11462
Hopefarm Channasandra,22,Sunday,Clear,1,11190
"Nadaprabhu Kempegowda Station, Majestic",20,Saturday,Clear,0,12668
Krantivira Sangolli Rayanna Railway Station,10,Friday,Cloudy,1,14263
Silk Institute,15,Friday,Rain,1,11045
Konanakunte Cross,9,Wednesday,Rain,1,24740
Cubbon Park,17,Friday,Rain,1,12574
Kadugodi Tree Park,14,Friday,Clear,0,10014
Kundalahalli,20,Thursday,Rain,0,12823
Magadi Road,12,Monday,Clear,0,11310
Lalbagh,12,Sunday,Rain,0,14923
Jnanabharathi,17,Thursday,Clear,0,11324
Kengeri,21,Saturday,Clear,0,15252
Vajarahalli,9,Sunday,Cloudy,0,16995
Nagasandra,20,Saturday,Cloudy,0,11302
Rashtreeya Vidyalaya Road,14,Friday,Cloudy,1,9653
Kengeri,12,Friday,Cloudy,0,13563
"Dr. B. R. Ambedkar Station, Vidhana Soudha",15,Thursday,Rain,1,13027
Silk Institute,20,Tuesday,Clear,0,11371
"Sir.M.Visvesvaraya Stn., Central College",18,Wednesday,Clear,0,13919
Jayaprakash Nagar,8,Wednesday,Cloudy,1,19171
Krishna Rajendra Market,20,Wednesday,Rain,0,13164
Deepanjali Nagar,11,Thursday,Cloudy,0,14329
Lalbagh,12,Friday,Clear,0,13427
Peenya,6,Friday,Cloudy,0,11259
Kengeri Bus Terminal,16,Tuesday,Rain,0,9975
Whitefield (Kadugodi),19,Thursday,Clear,0,23585
South End Circle,6,Monday,Cloudy,0,9381
Dasarahalli,20,Wednesday,Rain,0,10558
Goraguntepalya,6,Tuesday,Cloudy,0,9100
Mahakavi Kuvempu Road,21,Sunday,Cloudy,0,12458
Jnanabharathi,20,Saturday,Cloudy,0,11633
Lalbagh,16,Saturday,Cloudy,0,8484
Pantharapalya - Nayandahalli,14,Saturday,Cloudy,0,15551
Magadi Road,6,Thursday,Cloudy,1,13961
Singayyanapalya,9,Tuesday,Cloudy,0,20504
Mahakavi Kuvempu Road,8,Friday,Rain,0,19935
Kundalahalli,8,Monday,Clear,0,21455
Deepanjali Nagar,6,Sunday,Rain,0,10252
Srirampura,15,Wednesday,Clear,0,8899
Cubbon Park,6,Thursday,Cloudy,0,14270
Pattandur Agrahara,14,Wednesday,Cloudy,0,9415
Yeshwanthpur,13,Monday,Rain,0,15455
Kadugodi Tree Park,12,Tuesday,Cloudy,0,15196
Kundalahalli,18,Wednesday,Rain,0,19597
"Sir.M.Visvesvaraya Stn., Central College",19,Sunday,Cloudy,0,19339
Pattanagere,17,Tuesday,Rain,1,12102
Krantivira Sangolli Rayanna Railway Station,16,Friday,Rain,0,15610
Thalaghattapura,22,Sunday,Rain,0,11616
Mysore Road,20,Monday,Rain,0,10213
Srirampura,10,Thursday,Cloudy,0,8586
Indiranagar,15,Monday,Clear,1,15371
Seetharampalya,8,Wednesday,Cloudy,0,24721
"Nadaprabhu Kempegowda Station, Majestic",19,Thursday,Clear,0,15495
"Nadaprabhu Kempegowda Station, Majestic",8,Friday,Cloudy,0,17450
Jalahalli,19,Monday,Clear,0,23126
"Nadaprabhu Kempegowda Station, Majestic",9,Sunday,Clear,0,17656
Kengeri,8,Tuesday,Rain,0,20115
Banashankari,12,Tuesday,Clear,0,14467
Kengeri,20,Monday,Cloudy,0,8732
Konanakunte Cross,12,Thursday,Clear,0,11806
Sandal Soap Factory,19,Sunday,Rain,0,14297
Pattandur Agrahara,22,Friday,Rain,0,14408
Kadugodi Tree Park,10,Saturday,Cloudy,0,13923
Whitefield (Kadugodi),20,Monday,Clear,1,11920
Garudacharapalya,16,Thursday,Clear,0,14299
Kengeri Bus Terminal,12,Saturday,Clear,1,15452
Singayyanapalya,11,Monday,Clear,1,8941
Kundalahalli,17,Saturday,Clear,0,13166
Hopefarm Channasandra,15,Wednesday,Rain,0,12682
Chickpete,12,Tuesday,Rain,0,13995
Mysore Road,12,Monday,Rain,0,14758
Trinity,13,Saturday,Rain,0,10309
Goraguntepalya,18,Wednesday,Cloudy,0,24447
Thalaghattapura,22,Wednesday,Cloudy,0,10202
Garudacharapalya,13,Monday,Clear,1,14064
"Sir.M.Visvesvaraya Stn., Central College",22,Monday,Cloudy,0,8580
Attiguppe,12,Thursday,Rain,0,14293
Vijayanagar,6,Thursday,Clear,1,13336
Krishna Rajendra Market,14,Thursday,Cloudy,0,15472
Vijayanagar,19,Monday,Clear,0,23994
Krantivira Sangolli Rayanna Railway Station,14,Monday,Clear,1,10012
Hoodi,19,Tuesday,Rain,1,23369
Sri Sathya Sai Hospital,10,Friday,Clear,0,9143
Singayyanapalya,13,Saturday,Cloudy,0,9926
South End Circle,17,Sunday,Rain,1,10055
"Sri Balagangadharanatha Swamiji Station, Hosahalli",12,Sunday,Cloudy,1,12461
Seetharampalya,19,Wednesday,Rain,0,16812
Mantri Square Sampige Road,7,Monday,Cloudy,0,12432
Mysore Road,21,Wednesday,Clear,0,13202
Pattanagere,22,Sunday,Rain,0,14222
Jnanabharathi,14,Tuesday,Rain,1,9763
