ticket_id,entry_station,exit_station,entry_hour,distance,expected_time,travel_time,ticket_type,repeat_usage,fraud_label
358423de,Indiranagar,Huskur Road,13,22.78,39,37,Token,0,0
3358577e,Halasuru,Bommanahalli,5,2.96,5,5,Token,0,1
5074391c,Trinity,Kadugodi Tree Park,21,12.91,22,25,QR,0,0
73ec3c17,Sri Sathya Sai Hospital,Electronic City,7,12.55,21,22,QR,0,0
3a2667b0,Sri Sathya Sai Hospital,Cubbon Park,17,8.38,14,13,Token,0,0
28a1be80,Bommanahalli,Swami Vivekananda Road,6,6.42,11,10,Token,0,0
c6607246,Central Silk Board,Delta Electronics Bommasandra,17,7.39,12,13,Token,0,0
da05da55,Hosa Road,Pantharapalya Nayandahalli,17,7.78,13,14,SmartCard,0,0
cf0a719e,Dr B R Ambedkar Station Vidhana Soudha,Halasuru,9,9.18,15,18,Token,0,0
d21c7733,Krantivira Sangolli Rayanna Railway Station,National College,20,12.29,21,23,QR,0,0
814e873f,Electronic City,Mysuru Road,19,14.66,25,25,SmartCard,0,0
4198b2fc,Trinity,Hongasandra,9,23.35,40,42,Token,0,0
9c6dca3b,Manjunath Nagar,Halasuru,22,22.13,37,38,Token,0,0
10adf35f,Peenya,Garudacharapalya,15,1.01,1,2,SmartCard,0,0
5e89019d,Hongasandra,Lalbagh,9,17.09,29,30,SmartCard,0,0
cae0a266,Attiguppe,Kengeri Bus Terminal,15,18.54,31,1,QR,0,1
ee934e8f,Garudacharapalya,Pattanagere,14,10.63,18,16,Token,0,0
261751b1,Thalaghattapura,Indiranagar,13,15.01,25,28,Token,0,0
db06908f,Electronic City,Kudlu Gate,14,1.19,2,3,SmartCard,0,0
6b051cf4,Jalahalli,Srirampura,21,19.77,33,31,QR,0,0
9e76376c,National College,Pattandur Agrahara,7,16.52,28,93,Token,0,1
85b08686,Nallurhalli,Lalbagh,12,15.62,26,28,QR,0,0
bf71dd9f,Deepanjali Nagar,Jayaprakash Nagar,20,17.05,29,31,Token,0,0
0c2548be,Benniganahalli,Jnanabharathi,9,10.23,17,19,SmartCard,0,0
51ed2625,Garudacharapalya,Krantivira Sangolli Rayanna Railway Station,19,24.54,42,40,SmartCard,1,1
f7e74ba5,Nallurhalli,Garudacharapalya,19,10.1,17,15,Token,0,0
8732e720,Chikkabidarakallu,Srirampura,5,7.18,12,4,Token,0,1
006ffc5b,Sri Sathya Sai Hospital,Cubbon Park,13,2.13,3,1,Token,1,1
38386787,Doddakallasandra,Electronic City,10,5.66,9,12,QR,0,0
9b3a1cf7,Pantharapalya Nayandahalli,Hosa Road,7,13.48,23,24,SmartCard,0,0
035695f1,Madavara,Hoodi,6,16.79,28,31,QR,0,0
bdcf0cc0,Krantivira Sangolli Rayanna Railway Station,Jayaprakash Nagar,20,14.26,24,25,SmartCard,0,0
592af862,Infosys Foundation Konappana Agrahara,Rashtreeya Vidyalaya Road,22,10.33,17,19,Token,1,1
f7650109,Dr B R Ambedkar Station Vidhana Soudha,Baiyappanahalli,14,16.11,27,26,Token,0,0
e1ba47dc,Chickpete,Krishnarajapura,21,8.93,15,16,Token,0,0
2bca4990,BTM Layout,Krantivira Sangolli Rayanna Railway Station,13,21.2,36,36,QR,0,0
801ad1c4,Peenya Industry,Sandal Soap Factory,10,16.03,27,27,Token,0,0
b433a63a,Baiyappanahalli,Dr B R Ambedkar Station Vidhana Soudha,17,22.26,38,79,QR,0,1
646e2f01,Challaghatta,Sri Balagangadharanatha Swamiji Hosahalli,5,3.42,5,8,Token,0,0
75f2d1cb,Kengeri,Thalaghattapura,20,6.56,11,12,SmartCard,0,0
2ccdcbab,Seetharampalya,Chickpete,16,20.31,34,33,QR,0,0
bc81aaea,Kudlu Gate,Dr B R Ambedkar Station Vidhana Soudha,18,8.57,14,13,Token,0,0
52701955,Jnanabharathi,Bommanahalli,7,4.92,8,84,SmartCard,0,1
0cd147ff,Magadi Road,Baiyappanahalli,23,24.03,41,44,Token,0,0
9501acae,Benniganahalli,BTM Layout,7,20.33,34,34,QR,0,0
750772c6,Beratena Agrahara,BTM Layout,21,18.02,30,28,Token,0,0
59703139,Banashankari,Mantri Square Sampige Road,17,9.43,16,19,Token,0,0
874f5b74,South End Circle,Biocon Hebbagodi,15,14.68,25,23,Token,0,0
924dd665,Goraguntepalya,Manjunath Nagar,13,10.66,18,19,Token,0,0
0559532e,Biocon Hebbagodi,Pantharapalya Nayandahalli,6,17.16,29,5,Token,0,1
51e84283,Kengeri Bus Terminal,Chickpete,17,20.74,35,35,Token,0,0
fc8de6f0,Sri Balagangadharanatha Swamiji Hosahalli,Mahakavi Kuvempu Road,5,5.46,9,11,SmartCard,1,1
38a08250,Kengeri,Peenya Industry,23,16.15,27,26,Token,0,0
4a0f136e,Electronic City,Dr B R Ambedkar Station Vidhana Soudha,12,7.44,12,12,Token,0,0
c7983cdb,Trinity,Sandal Soap Factory,17,5.4,9,8,Token,0,0
519ad8e7,Jayanagar,Sri Balagangadharanatha Swamiji Hosahalli,23,18.39,31,3,QR,0,1
9eb1d509,Pantharapalya Nayandahalli,Hoodi,6,7.82,13,13,Token,0,0
c7c53b39,Kundalahalli,Whitefield (Kadugodi),23,5.85,10,12,SmartCard,0,0
8b92f616,Sri Sathya Sai Hospital,Singasandra,7,22.92,39,1,SmartCard,0,1
a911f4e8,Hopefarm Channasandra,Singayyanapalya,13,11.47,19,21,Token,0,0
e85f784b,Halasuru,Nallurhalli,6,21.24,36,116,SmartCard,0,1
37ad80d8,Vajarahalli,Jayaprakash Nagar,21,9.01,15,1,SmartCard,0,1
aef45fe8,Bommanahalli,Magadi Road,8,2.0,3,2,SmartCard,0,0
13d4662e,Mahakavi Kuvempu Road,Mantri Square Sampige Road,14,2.0,3,1,QR,0,0
4352f8ff,Seetharampalya,Vajarahalli,10,22.12,37,2,Token,0,1
6222d848,Hongasandra,Hoodi,20,16.18,27,26,Token,0,0
49ecc5f3,Bommanahalli,Beratena Agrahara,18,8.08,13,16,Token,0,0
2c25d3a4,Deepanjali Nagar,Ragigudda,19,22.79,39,2,Token,0,1
41ecd92b,Pattanagere,Benniganahalli,16,21.24,36,34,Token,0,0
43008db9,Delta Electronics Bommasandra,Jalahalli,15,8.91,15,16,Token,0,0
03fb875c,Whitefield (Kadugodi),Electronic City,10,3.27,5,66,SmartCard,0,1
d79249a8,BTM Layout,Central Silk Board,22,5.61,9,12,Token,0,0
241dd361,BTM Layout,Sandal Soap Factory,5,16.9,28,26,QR,0,0
c17f353a,Beratena Agrahara,Challaghatta,6,7.92,13,13,QR,0,0
65fab92c,Pattanagere,Pantharapalya Nayandahalli,15,5.25,9,8,Token,0,0
eb09089f,Lalbagh,Krishnarajapura,9,17.83,30,32,Token,0,0
fd10492a,Yeshwanthpur,Electronic City,19,16.72,28,30,QR,0,0
560debbd,Jnanabharathi,Hongasandra,9,4.96,8,11,QR,0,0
7fa9ba01,Sri Balagangadharanatha Swamiji Hosahalli,Rajajinagar,22,13.38,22,68,Token,0,1
a5aa09c1,Cubbon Park,Mahakavi Kuvempu Road,19,1.4,2,0,SmartCard,1,1
0c345782,Hosa Road,National College,14,3.32,5,4,SmartCard,0,0
e04f78af,Krishnarajapura,Deepanjali Nagar,21,16.64,28,26,SmartCard,0,0
f11cb32f,Ragigudda,Hoodi,15,2.37,4,1,QR,0,1
0fc1d099,Nallurhalli,Huskur Road,10,19.78,33,33,SmartCard,0,0
8847e9c7,Pattanagere,Madavara,14,19.71,33,35,SmartCard,0,0
7b398bbd,Sir M Visvesvaraya Central College,Mantri Square Sampige Road,9,22.61,38,41,SmartCard,0,0
4cdc8919,Halasuru,Swami Vivekananda Road,15,11.67,20,19,Token,0,0
5c253664,Mahalakshmi,Mysuru Road,15,12.39,21,20,QR,0,0
18adb233,Banashankari,Chikkabidarakallu,15,14.57,24,22,QR,0,0
39d10179,Konanakunte Cross,Biocon Hebbagodi,17,14.09,24,25,Token,0,0
4d7e1856,Jalahalli,Singayyanapalya,15,18.33,31,33,Token,0,0
f50b86b0,Sandal Soap Factory,Mantri Square Sampige Road,5,14.37,24,22,Token,0,0
117e29c3,Kengeri,Chickpete,23,22.77,39,39,Token,0,0
a042aa0a,Electronic City,Central Silk Board,13,10.17,17,19,QR,0,0
74c3bc35,Krishnarajapura,Pattandur Agrahara,8,4.06,6,6,Token,0,0
74719ec6,Krishna Rajendra Market,Deepanjali Nagar,10,23.22,39,37,Token,0,0
3793477e,Kadugodi Tree Park,Mantri Square Sampige Road,13,16.94,29,29,QR,0,0
b8603aa2,Krantivira Sangolli Rayanna Railway Station,Peenya,16,16.38,28,29,Token,0,0
825b59af,Hopefarm Channasandra,Whitefield (Kadugodi),7,3.17,5,3,QR,0,0
c8127d51,Manjunath Nagar,Pantharapalya Nayandahalli,10,3.64,6,8,SmartCard,1,1
6c7b0119,Chikkabidarakallu,Mysuru Road,5,22.8,39,39,SmartCard,0,0
24c569c6,Biocon Hebbagodi,Banashankari,13,8.73,14,15,QR,0,0
1cf44435,Nadaprabhu Kempegowda Station Majestic,Indiranagar,13,15.83,27,29,SmartCard,0,0
eef75195,Vijayanagar,Baiyappanahalli,20,3.3,5,5,QR,0,1
554f54a4,Vajarahalli,Peenya Industry,13,7.49,12,15,SmartCard,0,0
1b45fdf1,Electronic City,Vijayanagar,11,17.86,30,31,QR,0,0
be675b21,Whitefield (Kadugodi),Konanakunte Cross,15,20.1,34,34,Token,0,0
438b456b,Mantri Square Sampige Road,Krishna Rajendra Market,22,22.24,38,41,Token,0,0
374279a9,Jnanabharathi,Singayyanapalya,15,11.99,20,1,SmartCard,0,1
6468958c,Singayyanapalya,Benniganahalli,19,6.44,11,13,Token,0,0
2b000cb0,Nallurhalli,Kengeri,20,12.2,20,110,SmartCard,0,1
2f170a88,Biocon Hebbagodi,Thalaghattapura,5,6.71,11,12,SmartCard,0,0
082c197a,Kudlu Gate,Swami Vivekananda Road,10,22.46,38,2,QR,0,1
e919c21c,Sri Sathya Sai Hospital,Hopefarm Channasandra,16,4.07,6,95,Token,0,1
441f33af,Mahatma Gandhi Road,Seetharampalya,10,22.76,39,38,Token,0,0
b01640c7,Infosys Foundation Konappana Agrahara,Vajarahalli,23,14.04,24,25,Token,0,0
4a5074b0,Sri Sathya Sai Hospital,Singayyanapalya,16,8.61,14,12,SmartCard,0,0
bdd4b292,South End Circle,Garudacharapalya,21,6.86,11,13,QR,0,0
8cef7f27,Pattandur Agrahara,Chickpete,20,20.56,35,1,Token,0,1
24aabe4f,Mahakavi Kuvempu Road,Central Silk Board,21,14.98,25,26,QR,0,0
18b6d8a4,Electronic City,Jalahalli,8,17.79,30,31,Token,0,0
35f34e48,Ragigudda,Rajajinagar,12,22.79,39,39,SmartCard,0,0
18bc59ef,Kengeri Bus Terminal,Nagasandra,17,15.02,25,24,Token,0,0
0725f547,Madavara,Rajajinagar,19,5.33,9,12,Token,0,0
d0a61899,Hosa Road,Silk Institute,5,13.73,23,23,SmartCard,0,0
a449c013,Nallurhalli,Konanakunte Cross,18,5.22,8,6,QR,0,0
c40d3e80,Thalaghattapura,Peenya Industry,17,10.51,18,16,SmartCard,0,0
5fe8f3a9,Biocon Hebbagodi,Mahatma Gandhi Road,10,13.24,22,23,Token,0,0
eed3b705,Rajarajeshwari Nagar,Rashtreeya Vidyalaya Road,13,12.6,21,24,SmartCard,0,0
fe9f051e,Banashankari,National College,8,22.25,38,37,Token,0,0
127106d5,National College,Hopefarm Channasandra,19,5.09,8,10,QR,0,0
fe9b97ec,Kengeri,Attiguppe,6,7.55,12,12,SmartCard,0,0
62547e0f,Attiguppe,Thalaghattapura,20,23.15,39,38,Token,0,0
4513aff0,Nadaprabhu Kempegowda Station Majestic,Kundalahalli,10,8.02,13,13,QR,0,0
55902073,Krishna Rajendra Market,Jnanabharathi,6,5.95,10,13,SmartCard,0,0
a71e5da7,Yeshwanthpur,Bommanahalli,15,18.69,32,35,Token,0,0
b56e406b,Nadaprabhu Kempegowda Station Majestic,Singasandra,10,6.51,11,12,QR,0,0
0a9037f4,Chickpete,Whitefield (Kadugodi),11,16.84,28,28,SmartCard,0,0
9040d6f5,Garudacharapalya,South End Circle,20,20.62,35,2,QR,0,1
f33ee0d4,Trinity,BTM Layout,5,5.27,9,8,QR,0,0
565c5e02,Rajajinagar,Hosa Road,23,2.35,4,5,SmartCard,0,0
97b543cd,Baiyappanahalli,Trinity,14,19.81,33,35,QR,0,0
f8dfc945,Deepanjali Nagar,Kundalahalli,10,1.14,1,0,SmartCard,0,0
bb3bf88f,Sandal Soap Factory,Pattanagere,10,18.68,32,32,SmartCard,0,0
370106a4,Baiyappanahalli,Huskur Road,6,8.5,14,17,SmartCard,0,0
6c5d46c1,Nadaprabhu Kempegowda Station Majestic,Delta Electronics Bommasandra,14,21.65,37,38,QR,0,0
30ae5886,Hoodi,BTM Layout,7,8.83,15,18,Token,0,0
3d2136a3,Peenya,Rashtreeya Vidyalaya Road,12,15.94,27,30,QR,0,0
879540b6,Kengeri,Singayyanapalya,17,20.79,35,33,SmartCard,0,0
513f8b47,Kengeri,Vajarahalli,8,22.45,38,41,SmartCard,0,0
2dbed5b7,Srirampura,Lalbagh,7,16.93,29,31,Token,0,0
1b5d58ea,Attiguppe,Bommanahalli,5,11.51,19,18,SmartCard,0,0
ab8d4b91,Banashankari,Ragigudda,7,18.73,32,34,Token,0,0
6a422897,Hoodi,Kudlu Gate,8,23.26,39,38,Token,0,0
b96f51ed,Seetharampalya,Peenya Industry,9,7.31,12,15,Token,0,0
48ae5a5f,Vijayanagar,Baiyappanahalli,22,20.45,35,33,Token,0,0
1cb062ae,Attiguppe,Indiranagar,19,7.03,12,15,Token,0,0
192e2a9e,Central Silk Board,Vajarahalli,15,16.39,28,2,QR,0,1
3d31d432,Mahakavi Kuvempu Road,Electronic City,19,21.03,36,35,QR,0,0
b8476df2,Central Silk Board,Delta Electronics Bommasandra,10,1.2,2,1,Token,0,1
89a813d1,Central Silk Board,Pattanagere,23,3.88,6,7,SmartCard,0,0
8d32479a,Attiguppe,Electronic City,18,23.64,40,5,SmartCard,0,1
ae97a527,Benniganahalli,Peenya,9,10.74,18,17,QR,0,0
c72d0352,Hosa Road,Delta Electronics Bommasandra,10,5.1,8,7,Token,0,0
d5a98d03,Pantharapalya Nayandahalli,South End Circle,12,9.1,15,15,QR,0,0
34c2e996,Cubbon Park,Manjunath Nagar,6,22.15,37,37,Token,0,0
f83e11c0,Challaghatta,Peenya,23,6.89,11,11,QR,0,0
1c4070d5,Peenya Industry,Nadaprabhu Kempegowda Station Majestic,10,4.99,8,6,QR,0,0
bf5a8f92,Mahalakshmi,Nagasandra,18,18.23,31,31,SmartCard,0,0
edbafc3f,Yelachenahalli,Whitefield (Kadugodi),20,4.81,8,11,Token,0,0
a64e0181,Banashankari,Kengeri,12,23.13,39,40,QR,0,0
45e72b01,BTM Layout,Krantivira Sangolli Rayanna Railway Station,13,21.32,36,37,SmartCard,0,0
d823bd6e,Mahatma Gandhi Road,Mantri Square Sampige Road,5,2.46,4,4,Token,0,1
e4185a9c,Lalbagh,Mahalakshmi,14,7.44,12,11,QR,0,0
e1a80e58,Hongasandra,Nadaprabhu Kempegowda Station Majestic,22,11.45,19,21,QR,0,0
4e101aae,Sir M Visvesvaraya Central College,Sri Balagangadharanatha Swamiji Hosahalli,12,2.3,3,72,QR,0,1
b3fce80e,Central Silk Board,Swami Vivekananda Road,16,9.44,16,19,SmartCard,0,0
1f2a0630,Mantri Square Sampige Road,Krantivira Sangolli Rayanna Railway Station,7,6.3,10,13,QR,0,0
7be23eb2,Swami Vivekananda Road,Manjunath Nagar,10,2.08,3,3,SmartCard,0,0
5219fcc5,Kengeri Bus Terminal,Hongasandra,12,1.71,2,5,SmartCard,0,0
b4872a36,Delta Electronics Bommasandra,Sir M Visvesvaraya Central College,21,21.73,37,35,QR,0,0
be1eb9a8,Vijayanagar,Deepanjali Nagar,18,17.16,29,31,SmartCard,1,1
300d8988,Cubbon Park,Biocon Hebbagodi,19,10.73,18,21,QR,0,0
00a050fd,Delta Electronics Bommasandra,Kengeri,22,4.53,7,5,SmartCard,0,0
5f1e1d0d,Cubbon Park,Vijayanagar,23,12.51,21,24,Token,1,1
6be12280,Jayaprakash Nagar,Silk Institute,21,21.44,36,37,Token,0,0
3fb4150b,Sandal Soap Factory,Banashankari,14,8.58,14,12,Token,0,0
6f548911,Biocon Hebbagodi,Rajarajeshwari Nagar,6,11.26,19,22,Token,0,0
85847661,Sandal Soap Factory,Electronic City,6,4.03,6,2,Token,0,1
1ec8ef5b,Biocon Hebbagodi,Halasuru,7,11.7,20,21,QR,0,0
631859de,National College,Hosa Road,16,7.8,13,15,QR,0,0
a00ebb33,Rajajinagar,Mantri Square Sampige Road,10,13.65,23,25,QR,0,0
8bbe4820,Nallurhalli,Dasarahalli,10,19.85,34,35,SmartCard,0,0
e530decd,Krishna Rajendra Market,Chikkabidarakallu,10,22.93,39,42,Token,1,1
3fd27137,BTM Layout,Central Silk Board,18,10.33,17,1,SmartCard,0,1
50db3912,Ragigudda,National College,23,9.96,17,3,Token,0,1
30622cfa,Swami Vivekananda Road,Nallurhalli,8,2.81,4,6,Token,0,0
6e23d5bc,Dasarahalli,BTM Layout,9,7.03,12,13,Token,0,0
f296f89e,Ragigudda,Deepanjali Nagar,20,18.17,31,34,Token,0,0
0aa90804,Mahatma Gandhi Road,Swami Vivekananda Road,20,4.22,7,2,SmartCard,0,1
1cd154b1,Krishna Rajendra Market,Whitefield (Kadugodi),23,12.84,22,23,QR,0,0
d6fb6b49,Magadi Road,Thalaghattapura,9,11.44,19,20,SmartCard,0,0
88956781,Rashtreeya Vidyalaya Road,Halasuru,8,15.97,27,1,QR,0,1
47abcdeb,Bommanahalli,Sri Balagangadharanatha Swamiji Hosahalli,19,7.26,12,15,SmartCard,0,0
9c36c961,Trinity,Jayanagar,22,1.29,2,4,Token,0,0
a966ac8c,Vajarahalli,Pattanagere,13,16.73,28,30,Token,0,0
260a81c2,Singasandra,Trinity,10,21.74,37,40,QR,0,0
865e5ff7,Silk Institute,Mahakavi Kuvempu Road,9,4.76,8,8,SmartCard,0,0
132ef537,Magadi Road,Deepanjali Nagar,18,4.04,6,6,Token,0,0
82234c5f,Rashtreeya Vidyalaya Road,Indiranagar,8,1.09,1,2,SmartCard,0,0
fbb9f1f1,Chickpete,Jayaprakash Nagar,5,15.11,25,27,Token,0,0
605bfe0d,Garudacharapalya,Mantri Square Sampige Road,23,1.08,1,-1,SmartCard,0,0
510999e2,Trinity,Nagasandra,14,22.27,38,36,QR,0,0
06671e02,Dr B R Ambedkar Station Vidhana Soudha,Pantharapalya Nayandahalli,12,6.79,11,13,QR,0,0
9b6da19f,Krishnarajapura,BTM Layout,11,18.12,31,33,SmartCard,0,0
30badcfc,Doddakallasandra,Hopefarm Channasandra,23,7.72,13,13,SmartCard,0,0
210e66ca,Srirampura,Kundalahalli,9,19.03,32,31,Token,0,0
f9a70acf,Deepanjali Nagar,Benniganahalli,18,21.18,36,122,Token,0,1
272d7738,Deepanjali Nagar,Pattandur Agrahara,22,19.84,34,35,Token,0,0
9fcaceb5,Seetharampalya,Krishnarajapura,8,14.58,24,3,QR,0,1
a0c44635,Huskur Road,Jayanagar,20,3.01,5,3,Token,0,0
d54d5b3d,Lalbagh,Sri Sathya Sai Hospital,13,19.46,33,36,Token,0,0
1ac1153a,Kundalahalli,Pattandur Agrahara,23,13.91,23,22,Token,0,0
8ea0ae0b,Central Silk Board,Konanakunte Cross,21,4.95,8,9,Token,0,0
182f3518,Mahalakshmi,Hongasandra,13,4.54,7,6,SmartCard,0,0
4f70b83f,Jayanagar,Peenya,10,24.83,42,42,Token,0,0
3862ebee,Hosa Road,Mysuru Road,14,5.8,9,12,Token,1,1
a3310d2e,Benniganahalli,Whitefield (Kadugodi),8,7.98,13,12,Token,0,0
0afe413b,Rajarajeshwari Nagar,Hosa Road,10,12.12,20,22,QR,0,0
daebad1c,Jalahalli,Rajajinagar,10,2.34,4,2,QR,0,1
e56db858,Ragigudda,Pantharapalya Nayandahalli,5,7.71,13,11,QR,0,0
a7808eb2,BTM Layout,Beratena Agrahara,23,6.05,10,10,QR,0,0
8c2ad335,Kengeri,Beratena Agrahara,7,6.35,10,9,QR,0,0
6911ff7f,Whitefield (Kadugodi),Trinity,22,7.93,13,14,Token,0,0
ca675b36,Trinity,Thalaghattapura,13,6.11,10,9,QR,0,0
a6f0006d,Magadi Road,Mysuru Road,5,2.8,4,2,SmartCard,0,0
760f7b14,Electronic City,Central Silk Board,12,4.85,8,6,Token,0,0
a2b19e5b,Rajarajeshwari Nagar,Challaghatta,19,22.93,39,37,SmartCard,0,0
b986e867,Sir M Visvesvaraya Central College,Jayadeva Hospital,9,4.7,8,9,Token,0,0
d386270a,Hoodi,Attiguppe,7,1.37,2,1,SmartCard,0,0
c78967fc,Lalbagh,Mantri Square Sampige Road,16,12.24,20,23,Token,0,0
31f98b25,Jayaprakash Nagar,Doddakallasandra,22,15.58,26,27,Token,0,0
9970e95e,Vajarahalli,Pattanagere,8,24.73,42,44,SmartCard,0,0
45eec49c,Konanakunte Cross,Pantharapalya Nayandahalli,23,8.55,14,15,SmartCard,0,0
6d08cd41,Electronic City,Hopefarm Channasandra,16,16.07,27,27,SmartCard,0,0
61e2c713,Kudlu Gate,Jnanabharathi,10,22.22,38,37,QR,0,0
3d1eaee1,Jayaprakash Nagar,Mysuru Road,23,12.46,21,21,QR,0,0
4c034edf,Garudacharapalya,Mahalakshmi,16,12.65,21,20,Token,0,0
2d76fe76,Pattanagere,Kengeri,5,19.09,32,30,SmartCard,0,0
9fb51178,Mahakavi Kuvempu Road,Baiyappanahalli,14,16.15,27,2,Token,0,1
9888b3b9,Singayyanapalya,Baiyappanahalli,14,1.15,1,3,QR,0,0
a20007c6,Nallurhalli,Jayadeva Hospital,19,4.7,8,6,QR,0,0
f2a2f111,Peenya,National College,14,19.33,33,36,QR,0,0
e9fbc8f5,Nadaprabhu Kempegowda Station Majestic,Mysuru Road,17,5.23,8,7,Token,0,0
a5d426c5,South End Circle,Dasarahalli,22,6.01,10,13,QR,0,0
a453416d,Baiyappanahalli,Krishna Rajendra Market,14,13.48,23,4,SmartCard,0,1
ee023676,Kudlu Gate,Jalahalli,7,13.54,23,21,SmartCard,0,0
35da902e,Singayyanapalya,Mahalakshmi,22,15.53,26,28,Token,0,0
d0ea067d,Jayadeva Hospital,Indiranagar,16,23.78,40,41,Token,0,0
97c8cc16,Hosa Road,Yelachenahalli,14,18.05,30,28,SmartCard,0,0
b7ffa252,Ragigudda,Yelachenahalli,7,9.78,16,18,Token,0,0
4e016672,Nadaprabhu Kempegowda Station Majestic,Dr B R Ambedkar Station Vidhana Soudha,21,6.12,10,1,QR,0,1
3f94ff18,Mantri Square Sampige Road,Pantharapalya Nayandahalli,11,19.57,33,34,QR,0,0
a6941757,Nagasandra,Kengeri Bus Terminal,16,13.81,23,22,Token,0,0
9d705d17,Hopefarm Channasandra,Banashankari,21,12.69,21,24,SmartCard,0,0
83363d4b,Magadi Road,Sir M Visvesvaraya Central College,15,13.73,23,22,Token,0,0
